V1,travel,sleep,work_act,household_combine,Leisure_Combine,Others,work_per_week,wage,year,education,sex,metropolitan,age,partner,child_num
1157,30,285,1035,0,60,30,65,44.3786153846,2003,45,1,-1,59,1,0
1162,40,510,475,0,335,80,40,33.65375,2003,40,1,-1,49,1,0
1166,60,390,635,100,215,40,50,23.0768,2003,43,1,-1,55,1,0
1167,48,510,393,157,247,85,40,13.82,2003,44,2,-1,36,1,1
1168,45,580,465,95,180,75,47,8.51063829787,2003,40,2,-1,21,3,0
1170,169,180,666,5,40,380,57,11.470877193,2003,43,1,-1,31,1,2
1172,30,535,45,425,345,60,48,58.75,2003,41,1,-1,43,1,3
1182,60,270,529,115,368,98,45,29.9126666667,2003,43,1,-1,48,1,1
1183,40,475,585,130,195,15,40,57.69225,2003,46,2,-1,41,1,2
1184,75,480,470,65,240,110,40,20.19225,2003,43,1,-1,52,1,0
1185,45,450,718,32,105,90,60,9.61533333333,2003,39,2,-1,54,1,0
1194,110,565,505,0,185,75,40,15,2003,41,1,-1,35,1,2
1195,105,480,205,410,180,60,55,34.2629090909,2003,46,1,-1,35,1,2
1204,45,290,715,0,210,180,60,16.0255,2003,44,2,-1,48,1,0
1206,32,465,528,0,385,30,62,6.29032258065,2003,39,1,-1,19,3,0
1208,91,495,412,192,205,45,40,38.4615,2003,43,2,-1,41,3,2
1210,90,390,585,330,15,30,50,16.74,2003,40,1,-1,31,1,3
1213,138,435,480,98,256,33,40,9.48,2003,43,2,-1,40,3,2
1224,65,420,454,303,136,62,40,7.2,2003,40,2,-1,59,3,0
1230,60,600,500,10,250,20,40,16,2003,40,2,-1,58,3,0
1239,80,510,450,3,327,70,40,13,2003,39,1,-1,61,1,0
1240,80,525,500,0,325,10,63,5.15873015873,2003,39,1,-1,26,1,4
1243,155,435,340,70,230,210,40,4.75,2003,43,1,-1,54,1,3
1249,80,585,430,0,215,130,40,14.5,2003,43,1,-1,54,3,0
1250,244,534,240,0,420,2,40,10.725,2003,40,1,-1,29,2,0
1251,40,570,60,665,90,15,40,19.23075,2003,39,2,-1,49,1,0
1260,90,400,680,15,165,90,45,64.1024444444,2003,44,2,-1,47,1,2
1261,65,450,510,135,100,180,40,39.0625,2003,43,1,-1,48,1,3
1262,105,479,569,17,190,80,40,9.375,2003,43,2,-1,23,3,0
1264,75,330,390,0,605,40,40,20,2003,40,1,-1,61,3,0
1265,78,440,390,297,115,120,35,25.2745714286,2003,43,2,-1,41,1,2
1269,91,510,564,0,155,120,40,11.3,2003,39,2,-1,47,1,0
1270,40,540,255,215,150,240,60,48.0768333333,2003,44,2,-1,50,1,1
1274,4,913,20,30,458,15,55,16.1363636364,2003,39,1,-1,23,3,0
1276,180,450,300,0,450,60,40,14.423,2003,39,1,-1,50,1,1
1280,80,595,353,57,262,93,37,10.8108108108,2003,39,2,-1,19,3,1
1288,40,480,590,80,220,30,45,18.4126666667,2003,39,2,-1,38,3,2
1294,25,715,240,100,350,10,40,14.423,2003,39,2,-1,31,1,3
1302,60,535,480,0,330,35,45,17.094,2003,39,1,-1,61,1,0
1303,80,430,455,91,330,54,38,30.3642105263,2003,39,1,-1,62,1,0
1307,75,420,510,0,330,105,40,20.19225,2003,43,1,-1,65,1,0
1309,150,390,435,0,435,30,40,18.75,2003,39,1,-1,28,1,0
1311,55,490,255,35,535,70,37,33.7837837838,2003,44,2,-1,44,3,0
1317,139,360,583,5,313,40,50,12.923,2003,35,1,-1,47,1,1
1320,103,355,505,60,155,262,40,15,2003,38,1,-1,54,3,0
1329,77,510,405,90,318,40,35,20,2003,39,2,-1,61,1,0
1338,54,390,540,257,114,85,55,26.2236363636,2003,41,1,-1,46,1,3
1339,80,280,1000,0,30,50,60,11.2178333333,2003,46,1,-1,29,1,1
1342,60,760,90,20,220,290,55,6.81818181818,2003,40,1,-1,25,3,1
1344,34,395,736,60,175,40,60,38.4615,2003,43,1,-1,39,1,3
1346,0,425,540,56,374,45,50,26.923,2003,41,1,-1,61,1,0
1350,80,450,555,90,130,135,40,13.25,2003,43,2,-1,32,3,0
1354,70,460,539,32,294,45,50,26.923,2003,45,1,-1,41,1,0
1359,331,180,564,300,15,50,40,21.6345,2003,43,1,-1,28,1,3
1363,152,420,523,6,247,92,50,34.6152,2003,44,2,-1,46,3,0
1364,70,510,510,0,275,75,50,21.5384,2003,44,2,-1,26,1,0
1368,115,470,450,65,265,75,40,14.90375,2003,42,1,-1,38,1,3
